Enfoque,Sesion,Tiempo_s,FO_Mejor
B_VNS_Profundo,2,2088.28,893.76
B_VNS_Profundo,2,2184.95,886.34
B_VNS_Profundo,2,2209.2,885.52
B_VNS_Profundo,2,2222.68,884.57
B_VNS_Profundo,2,2263.64,881.88
B_VNS_Profundo,2,2304.98,881.56
B_VNS_Profundo,2,2315.16,879.21
B_VNS_Profundo,2,2325.34,877.68
B_VNS_Profundo,2,2474.21,876.39
B_VNS_Profundo,2,2682.34,874.71
B_VNS_Profundo,2,2807.96,874.08
B_VNS_Profundo,2,2830.14,788.41
B_VNS_Profundo,2,2899.35,786.54
B_VNS_Profundo,2,2975.68,784.26
B_VNS_Profundo,2,2985.82,783.6
B_VNS_Profundo,2,3017.93,780.74
B_VNS_Profundo,2,3041.72,779.37
B_VNS_Profundo,2,3106.72,776.78
B_VNS_Profundo,2,3118.3,776.76
B_VNS_Profundo,2,3148.93,775.62
B_VNS_Profundo,2,3395.13,773.62
B_VNS_Profundo,2,3528.18,772.66
B_VNS_Profundo,2,3538.58,769.01
B_VNS_Profundo,2,3553.65,768.66
B_VNS_Profundo,2,3597.59,767.08
B_VNS_Profundo,2,3611.07,767.08
A_MultiStart_VND,3,0.0,916.03
A_MultiStart_VND,3,189.01,916.03
A_MultiStart_VND,3,339.8,916.03
A_MultiStart_VND,3,534.19,899.36
A_MultiStart_VND,3,713.0,899.36
A_MultiStart_VND,3,898.34,899.36
A_MultiStart_VND,3,1093.03,899.36
A_MultiStart_VND,3,1296.69,899.36
A_MultiStart_VND,3,1477.74,899.36
A_MultiStart_VND,3,1671.82,899.36
A_MultiStart_VND,3,1861.12,899.36
A_MultiStart_VND,3,2051.21,899.36
A_MultiStart_VND,3,2240.41,899.36
A_MultiStart_VND,3,2419.29,899.36
A_MultiStart_VND,3,2593.51,899.36
A_MultiStart_VND,3,2759.44,899.36
A_MultiStart_VND,3,2931.79,899.36
A_MultiStart_VND,3,3084.6,899.36
A_MultiStart_VND,3,3296.28,899.36
A_MultiStart_VND,3,3462.86,899.36
A_MultiStart_VND,3,3651.91,882.4
B_VNS_Profundo,3,0.0,916.03
B_VNS_Profundo,3,193.4,916.03
B_VNS_Profundo,3,193.4,916.0342
B_VNS_Profundo,3,205.44,905.9
B_VNS_Profundo,3,225.61,898.1
B_VNS_Profundo,3,241.11,891.25
B_VNS_Profundo,3,254.73,885.36
B_VNS_Profundo,3,270.79,885.11
B_VNS_Profundo,3,282.87,882.86
B_VNS_Profundo,3,294.41,880.03
